order_id,product_id,add_to_cart_order,reordered
33,49390,7,0
33,32981,8,0
33,40063,9,1
35,28413,1,0
35,24532,2,0
35,14715,3,0
35,16974,4,0
35,37980,5,0
37,35561,1,0
37,33059,2,0
37,43721,3,0
39,48679,1,0
39,4605,2,0
39,28204,3,1
39,21903,4,0
39,8385,5,0
40,10070,1,1
40,42450,2,1
40,33198,3,1
40,34866,4,1
41,27344,1,1
41,27355,2,1
42,19887,1,1
42,33000,2,0
42,13176,3,1
43,20915,1,0
43,21949,2,0
43,8817,3,0
43,37867,4,1
43,12850,5,0
43,21553,6,1
43,34005,7,0
44,31509,1,1
44,27979,2,1
44,20955,3,0
44,383,4,0
44,44384,5,1
44,28012,6,0
44,27356,7,0
44,13966,8,0
44,2240,9,0
44,17341,10,0
45,16349,1,1
46,36884,1,0
46,48183,2,0
46,26172,3,0
46,4778,4,1
46,34519,5,1
46,11983,6,1
46,18346,7,1
46,21067,8,1
46,41602,9,1
46,27656,10,1
46,17417,11,1
46,22282,12,0
46,47827,13,1
46,32917,14,0
46,5077,15,1
46,4447,16,0
46,3703,17,0
46,34233,18,0
46,28921,19,0
46,15364,20,0
47,16797,1,1
47,39275,2,1
47,43352,3,1
47,46041,4,0
47,29223,5,0
48,14129,1,0
48,22298,2,1
48,17600,3,1
48,6141,4,0
48,42169,5,0
48,12144,6,0
48,11403,7,0
48,36929,8,0
49,3513,1,1
49,39276,2,1
49,20307,3,1
49,19677,4,1
50,397,1,0
50,34993,2,0
50,17183,3,1
50,37788,4,0
50,1025,5,1
50,4799,6,1
50,276,7,0
51,30274,1,0
51,3594,2,1
51,14994,3,0
51,45433,4,0
51,44514,5,0
51,32624,6,0
51,604,7,0
51,21195,8,1
51,4493,9,1
52,18963,1,0
52,24852,2,1
52,39408,3,1
52,49683,4,1
52,4485,5,0
53,24852,1,1
53,37646,2,1
53,47209,3,1
53,36606,4,0
53,32442,5,1
53,14467,6,1
53,40706,7,1
53,5876,8,1
53,22298,9,1
53,38827,10,1
53,39275,11,0
53,38647,12,0
53,47626,13,0
53,34448,14,0
53,46194,15,0
54,10833,1,0
54,24852,2,0
54,34004,3,0
54,35430,4,0
54,11121,5,0
54,36086,6,0
54,32971,7,0
55,42736,1,1
55,8671,2,1
55,17872,3,0
55,5876,4,1
55,27966,5,0
55,13176,6,1
55,8251,7,1
55,24385,8,0
55,30391,9,0
55,8518,10,1
55,32734,11,0
55,11520,12,0
55,18234,13,0
55,32177,14,0
55,40709,15,1
55,45123,16,0
55,3464,17,0
55,41950,18,1
55,26940,19,0
55,6740,20,0
55,38315,21,0
55,25800,22,0
56,7021,1,0
56,4799,2,0
56,24964,3,1
56,11520,4,1
56,9076,5,1
56,1376,6,1
56,47209,7,1
56,21903,8,1
56,21910,9,1
56,34050,10,0
57,21903,1,0
57,47231,2,0
57,21137,3,0
57,43122,4,0
57,19057,5,0
57,47209,6,0
57,48857,7,0
58,23375,1,1
58,2825,2,1
58,22825,3,1
58,13176,4,1
58,26604,5,1
58,42265,6,0
59,32549,1,1
59,46077,2,1
59,12902,3,1
60,9934,1,0
60,22395,2,0
60,36929,3,0
60,37110,4,1
60,13176,5,1
60,37646,6,1
60,27966,7,1
60,17123,8,1
60,38777,9,1
60,2298,10,1
60,48628,11,1
60,781,12,1
60,13249,13,1
60,22935,14,1
60,890,15,1
60,17794,16,1
60,22963,17,1
60,44910,18,1
61,42265,1,1
61,22507,2,0
61,4149,3,1
61,29127,4,1
61,15541,5,1
61,13042,6,1
61,20940,7,1
61,10473,8,1
61,17207,9,1
61,38928,10,1
61,6184,11,1
61,16974,12,1
62,10017,1,0
62,43394,2,1
62,37766,3,1
62,26209,4,0
62,47766,5,0
62,28849,6,0
62,20114,7,0
63,25886,1,0
63,41674,2,0
63,9327,3,0
63,24203,4,1
63,34854,5,0
63,34640,6,0
63,6046,7,0
63,287,8,1
63,12508,9,0
63,13733,10,1
64,17889,1,1
64,9292,2,1
64,15424,3,1
64,18988,4,1
64,38959,5,1
65,19155,1,1
65,1940,2,1
65,25170,3,0
66,3397,1,1
66,21955,2,1
66,38689,3,1
66,45368,4,1
66,7658,5,1
66,37102,6,0
67,13176,1,1
67,11422,2,1
67,27514,3,1
67,46654,4,1
67,47993,5,1
67,5438,6,1
67,46226,7,0
67,25670,8,0
68,43739,1,1
68,17924,2,1
68,31805,3,1
68,9387,4,1
68,196,5,1
68,7768,6,0
68,17207,7,0
68,1629,8,0
68,21288,9,1
69,43875,1,1
69,27845,2,1
69,47049,3,1
69,8186,4,1
69,34134,5,1
69,42345,6,1
69,28682,7,0
69,36342,8,1
69,12341,9,0
69,11140,10,0
69,23060,11,1
70,11067,1,0
70,11481,2,0
70,44008,3,0
70,35824,4,1
71,10017,1,0
71,12023,2,0
71,47209,3,1
71,41544,4,0
71,5876,5,1
71,31553,6,1
71,31717,7,1
71,26209,8,1
71,39389,9,0
71,44632,10,1
72,28204,1,1
72,39108,2,1
72,4472,3,1
72,43950,4,1
72,29228,5,1
72,42548,6,1
72,20588,7,1
72,24852,8,1
72,47479,9,0
72,38515,10,0
72,5514,11,0
73,28413,1,0
73,24125,2,1
73,11759,3,1
73,21903,4,1
74,46667,1,1
74,14129,2,1
74,11136,3,1
74,27247,4,1
74,17902,5,1
74,45681,6,1
74,7715,7,1
74,15392,8,1
74,12456,9,1
74,14540,10,1
74,26369,11,1
75,25138,1,0
75,2361,2,0
75,10915,3,0
75,39275,4,0
75,21616,5,0
75,12341,6,0
75,33768,7,0
75,40709,8,0
75,24889,9,0
75,5959,10,0
75,43889,11,0
75,45646,12,0
75,44077,13,0
75,21019,14,0
75,46383,15,0
75,25195,16,0
76,31974,1,0
76,14159,2,1
76,33357,3,0
76,38996,4,0
76,39844,5,0
77,49510,1,1
77,36481,2,1
77,5120,3,1
77,43154,4,1
77,24184,5,1
77,2295,6,1
77,8277,7,1
77,34969,8,0
77,47626,9,1
77,15290,10,1
77,2979,11,0
77,22935,12,0
77,30391,13,0
77,23233,14,0
77,48057,15,0
77,31040,16,1
77,38944,17,0
77,39619,18,0
77,38273,19,0
77,36550,20,1
77,18079,21,0
78,32403,1,0
78,12899,2,0
78,21573,3,0
78,32455,4,1
78,16797,5,0
79,4210,1,1
79,4377,2,1
79,39461,3,1
79,13627,4,1
79,13110,5,1
79,12397,6,1
79,4840,7,0
79,11256,8,1
80,10761,1,1
80,27845,2,1
80,42118,3,1
80,24852,4,1
80,23734,5,1
80,2295,6,1
80,26604,7,0
81,25931,1,1
81,43014,2,1
81,24838,3,1
81,47209,4,1
81,15040,5,1
81,22867,6,1
81,10385,7,1
81,21137,8,1
81,39928,9,0
81,46394,10,0
81,44683,11,1
82,35417,1,1
82,14117,2,1
82,3376,3,1
82,20520,4,1
82,4421,5,1
82,39469,6,0
82,16797,7,0
82,37646,8,1
83,13176,1,1
83,1087,2,1
83,35503,3,1
83,4945,4,1
83,40587,5,0
83,11574,6,0
83,37935,7,0
83,43352,8,0
83,39561,9,0
83,2124,10,0
83,13292,11,0
83,12023,12,0
83,4605,13,0
83,10060,14,1
84,1463,1,1
84,11193,2,1
84,34423,3,1
84,28842,4,1
84,13984,5,1
84,42300,6,1
84,17594,7,0
84,34065,8,1
84,18306,9,0
85,16797,1,1
85,19691,2,0
85,32259,3,0
85,20217,4,0
85,21349,5,0
85,33776,6,0
85,41611,7,0
85,34063,8,1
85,42240,9,1
86,37634,1,0
86,36004,2,0
86,45253,3,0
86,47123,4,1
86,32566,5,1
86,23115,6,1
86,22950,7,1
86,17706,8,1
87,16797,1,1
87,39947,2,1
87,31748,3,0
87,44119,4,0
87,38770,5,0
87,49279,6,1
87,2707,7,1
87,45312,8,0
87,40338,9,1
87,46881,10,0
87,6128,11,0
87,13637,12,0
87,4105,13,0
87,46052,14,0
87,8538,15,0
88,21616,1,1
88,19511,2,1
88,47626,3,1
88,35628,4,1
88,18523,5,1
88,24852,6,1
88,2067,7,1
88,21137,8,1
88,43961,9,1
88,7485,10,1
88,9366,11,0
88,47766,12,0
88,30442,13,1
88,49131,14,1
88,46654,15,1
88,27690,16,0
88,27548,17,0
88,1158,18,0
88,26252,19,0
88,49683,20,0
88,15649,21,1
88,38400,22,1
88,28993,23,0
89,17794,1,1
89,20600,2,1
89,5876,3,1
89,37011,4,1
89,26648,5,1
90,42265,1,1
90,33043,2,0
90,890,3,0
90,44449,4,0
90,12797,5,1
91,5825,1,1
91,44303,2,1
91,48784,3,1
91,23293,4,1
91,42813,5,1
91,6218,6,1
92,44116,1,1
92,21903,2,1
92,4793,3,1
92,39121,4,1
92,29742,5,1
92,18288,6,1
92,45633,7,1
92,2929,8,1
92,1376,9,1
92,35503,10,1
92,14332,11,0
92,35704,12,0
92,14540,13,0
92,25230,14,0
92,48385,15,0
92,35561,16,0
92,1392,17,0
92,1374,18,1
92,39928,19,1
92,21137,20,0
92,24852,21,1
92,26604,22,0
92,49235,23,1
92,44375,24,1
92,5646,25,1
93,13194,1,0
93,47226,2,0
93,28454,3,1
93,33671,4,1
93,39620,5,0
93,23909,6,1
93,39581,7,1
93,27323,8,1
93,42677,9,0
93,4966,10,1
93,39408,11,0
93,13176,12,0
93,29487,13,1
93,25727,14,1
94,35221,1,1
94,16521,2,0
94,11520,3,1
94,17948,4,0
95,9337,1,0
95,10121,2,1
95,37630,3,0
95,22035,4,1
95,20379,5,1
95,39928,6,1
95,12395,7,1
95,21137,8,1
95,10849,9,1
95,47766,10,1
95,48464,11,1
95,49683,12,1
95,48287,13,1
95,37158,14,1
97,4366,1,1
97,17600,2,1
97,12276,3,1
97,30949,4,1
97,46175,5,0
97,36772,6,1
97,30850,7,1
97,44116,8,1
97,25451,9,1
97,2275,10,1
97,28465,11,1
97,10761,12,0
97,19019,13,1
97,33439,14,1
97,34565,15,0
97,35134,16,1
97,38782,17,1
97,38090,18,1
97,33184,19,1
97,1136,20,1
97,37460,21,1
97,28515,22,1
97,4006,23,0
97,37867,24,0
97,41973,25,0
97,27177,26,0
97,29963,27,0
99,46584,1,1
99,38200,2,1
99,13991,3,0
99,8025,4,0
99,32105,5,0
99,35176,6,0
99,12157,7,0
100,19660,1,0
100,196,2,0
101,6249,1,1
101,1408,2,1
101,5729,3,1
101,9138,4,1
101,16570,5,1
101,4472,6,1
101,21616,7,1
101,44926,8,1
101,47852,9,1
101,3561,10,0
101,37825,11,1
101,47626,12,0
102,29487,1,1
102,44625,2,1
102,27966,3,0
102,24830,4,0
102,27104,5,0
102,39001,6,0
102,19446,7,0
102,44570,8,0
102,26410,9,1
102,37462,10,0
103,30850,1,0
103,5794,2,0
103,1695,3,0
103,40386,4,0
104,28745,1,1
104,22124,2,1
104,26604,3,1
104,5212,4,0
105,1194,1,0
105,12276,2,1
105,13176,3,1
105,27423,4,1
105,17600,5,1
105,4920,6,1
105,28204,7,1
105,26790,8,0
105,27690,9,0
105,42443,10,1
105,4210,11,1
105,11712,12,0
106,4210,1,0
106,11210,2,0
106,2839,3,1
106,19836,4,1
106,49505,5,1
106,27288,6,1
106,23011,7,1
106,37449,8,1
106,47144,9,1
106,22620,10,0
106,24184,11,1
106,18019,12,1
106,19539,13,1
106,14168,14,1
106,16177,15,1
106,21938,16,1
106,44455,17,1
106,16370,18,1
106,27509,19,1
106,42548,20,1
106,30958,21,1
106,4497,22,1
106,12945,23,1
106,39335,24,0
106,46167,25,0
106,30413,26,1
106,31562,27,1
106,38819,28,0
106,20114,29,1
106,34092,30,1
106,5048,31,0
106,26179,32,0
106,14936,33,0
106,5672,34,0
107,35535,1,1
107,31577,2,1
107,47783,3,1
107,30391,4,1
107,43394,5,1
107,16953,6,1
107,11513,7,1
108,36011,1,1
108,21847,2,0
108,14872,3,0
108,42075,4,0
108,38381,5,0
108,7751,6,0
108,42383,7,0
108,5212,8,0
108,13708,9,0
109,36217,1,1
109,8195,2,1
109,25146,3,1
109,7948,4,0
109,4715,5,1
109,10616,6,1
109,49478,7,0
109,18848,8,1
109,26165,9,1
109,14131,10,0
109,19076,11,0
109,35871,12,0
109,49056,13,0
109,31555,14,1
109,22894,15,0
109,37751,16,0
109,42240,17,0
109,15452,18,0
109,33651,19,0
109,36066,20,0
109,40310,21,1
110,5876,1,0
110,35951,2,0
